Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   846984     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      0.00     0.00   333219     0.00     0.00  std::less<std::pair<int, int> >::operator()(std::pair<int, int> const&, std::pair<int, int> const&) const
  0.00      0.00     0.00   226378     0.00     0.00  std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >::operator()(std::pair<std::pair<int, int>, std::pair<int, int> > const&, std::pair<std::pair<int, int>, std::pair<int, int> > const&) const
  0.00      0.00     0.00   226378     0.00     0.00  bool std::operator< <std::pair<int, int>, std::pair<int, int> >(std::pair<std::pair<int, int>, std::pair<int, int> > const&, std::pair<std::pair<int, int>, std::pair<int, int> > const&)
  0.00      0.00     0.00   175834     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >::_M_ptr() const
  0.00      0.00     0.00   175834     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >::_M_addr() const
  0.00      0.00     0.00   175834     0.00     0.00  std::_Select1st<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >::operator()(std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > const&) const
  0.00      0.00     0.00   175834     0.00     0.00  std::_Rb_tree_node<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >::_M_valptr() const
  0.00      0.00     0.00   173842     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > >, std::_Select1st<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > > >::_S_key(std::_Rb_tree_node<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > > const*)
  0.00      0.00     0.00   173842     0.00     0.00  std::_Rb_tree<std::pair<int, int>, std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > >, std::_Select1st<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > >, std::less<std::pair<int, int> >, std::allocator<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > > >::_S_value(std::_Rb_tree_node<std::pair<std::pair<int, int> const, std::set<std::pair<std::pair<int, int>, std::pair<int, int> >, std::less<std::pair<std::pair<int, int>, std::pair<int, int> > >, std::allocator<std::pair<std::pair<int, int>, std::pair<int, int> > > > > > const*)
